,friend,count,Username
3232,813286,37,BarackObama
415,44196397,21,elonmusk
3684,759251,19,AOC
2642,138203134,19,CNN
3122,50393960,15,BillGates
3581,807095,14,HillaryClinton
3156,1536791610,14,POTUS44
183,1339835893,14,nytimes
6820,11348282,13,realDonaldTrump
3372,428333,13,chrissyteigen
160,25073877,13,cnnbrk
4327,25365536,13,KimKardashian
1668,39364684,13,NASA
1527,34507480,12,DalaiLama
11424,15846407,12,ArianaGrande
893,20609518,12,TheEllenShow
3848,79293791,11,SpaceX
13915,15485441,11,rihanna
24086,47786101,11,YouTube
8223,10228272,11,jimmyfallon
86,34743251,11,RobertDowneyJr
4499,95023423,10,BBCBreaking
9444,2233154425,10,BernieSanders
5737,409486555,10,POTUS
2944,5402612,10,BBCWorld
3098,216776631,10,Drake
3185,742143,10,UberFacts
7495,783214,10,MichelleObama
18018,443215941,10,Twitter
4443,27195114,10,StephenKing
